idade_gestacional,valor,percentil
14,5.1,5
15,5.1,5
16,5.2,5
17,5.3,5
18,5.4,5
19,5.5,5
20,5.6,5
21,5.6,5
22,5.7,5
23,5.8,5
24,5.9,5
25,6.0,5
26,6.1,5
27,6.1,5
28,6.2,5
29,6.3,5
30,6.4,5
31,6.5,5
32,6.6,5
33,6.7,5
34,6.7,5
35,6.8,5
36,6.9,5
37,7.0,5
38,7.1,5
39,7.2,5
14,6.7,50
15,6.8,50
16,6.9,50
17,7.0,50
18,7.1,50
19,7.2,50
20,7.2,50
21,7.3,50
22,7.4,50
23,7.5,50
24,7.6,50
25,7.7,50
26,7.7,50
27,7.8,50
28,7.9,50
29,8.0,50
30,8.1,50
31,8.2,50
32,8.3,50
33,8.3,50
34,8.4,50
35,8.5,50
36,8.6,50
37,8.7,50
38,8.8,50
39,8.8,50
14,8.4,95
15,8.5,95
16,8.6,95
17,8.7,95
18,8.8,95
19,8.8,95
20,8.9,95
21,9.0,95
22,9.1,95
23,9.2,95
24,9.3,95
25,9.3,95
26,9.4,95
27,9.5,95
28,9.6,95
29,9.7,95
30,9.8,95
31,9.9,95
32,9.9,95
33,10.0,95
34,10.1,95
35,10.2,95
36,10.3,95
37,10.4,95
38,10.4,95
39,10.5,95
