idade_gestacional,valor,percentil
13,5.6,0.5
14,7.1,0.5
15,8.4,0.5
16,9.8,0.5
17,11.2,0.5
18,12.5,0.5
19,13.8,0.5
20,15.1,0.5
21,16.3,0.5
22,17.5,0.5
23,18.7,0.5
24,19.8,0.5
25,20.9,0.5
26,22.0,0.5
27,23.0,0.5
28,24.0,0.5
29,24.9,0.5
30,25.8,0.5
31,26.7,0.5
32,27.5,0.5
33,28.2,0.5
34,28.9,0.5
35,29.6,0.5
36,30.2,0.5
37,30.7,0.5
38,31.2,0.5
39,31.6,0.5
40,32.0,0.5
13,6.2,2.5
14,7.7,2.5
15,9.0,2.5
16,10.4,2.5
17,11.8,2.5
18,13.1,2.5
19,14.4,2.5
20,15.7,2.5
21,16.9,2.5
22,18.1,2.5
23,19.3,2.5
24,20.4,2.5
25,21.5,2.5
26,22.6,2.5
27,23.6,2.5
28,24.6,2.5
29,25.5,2.5
30,26.4,2.5
31,27.3,2.5
32,28.1,2.5
33,28.8,2.5
34,29.5,2.5
35,30.2,2.5
36,30.8,2.5
37,31.3,2.5
38,31.8,2.5
39,32.2,2.5
40,32.6,2.5
13,8.2,50
14,9.7,50
15,11.0,50
16,12.4,50
17,13.8,50
18,15.1,50
19,16.4,50
20,17.7,50
21,18.9,50
22,20.1,50
23,21.3,50
24,22.4,50
25,23.5,50
26,24.6,50
27,25.6,50
28,26.6,50
29,27.5,50
30,28.4,50
31,29.3,50
32,30.1,50
33,30.8,50
34,31.5,50
35,32.2,50
36,32.8,50
37,33.3,50
38,33.8,50
39,34.2,50
40,34.6,50
13,10.2,97.5
14,11.7,97.5
15,13.0,97.5
16,14.4,97.5
17,15.8,97.5
18,17.1,97.5
19,18.4,97.5
20,19.7,97.5
21,20.9,97.5
22,22.1,97.5
23,23.3,97.5
24,24.4,97.5
25,25.5,97.5
26,26.6,97.5
27,27.6,97.5
28,28.6,97.5
29,29.5,97.5
30,30.4,97.5
31,31.3,97.5
32,32.1,97.5
33,32.8,97.5
34,33.5,97.5
35,34.2,97.5
36,34.8,97.5
37,35.3,97.5
38,35.8,97.5
39,36.2,97.5
40,36.6,97.5
