idade_gestacional,valor,percentil
11,1.3,2.5
12,1.7,2.5
13,2.2,2.5
14,2.2,2.5
15,2.8,2.5
16,3.2,2.5
17,3.7,2.5
18,4.0,2.5
19,4.6,2.5
20,5.0,2.5
21,5.1,2.5
22,5.6,2.5
23,6.0,2.5
24,6.6,2.5
25,6.3,2.5
26,6.8,2.5
27,7.0,2.5
28,7.2,2.5
29,7.2,2.5
30,7.3,2.5
31,7.9,2.5
32,8.1,2.5
33,8.6,2.5
34,9.0,2.5
35,7.5,2.5
36,7.3,2.5
37,8.4,2.5
38,9.2,2.5
39,9.1,2.5
40,10.3,2.5
11,1.4,5
12,1.8,5
13,2.3,5
14,2.5,5
15,3.0,5
16,3.4,5
17,4.0,5
18,4.3,5
19,5.0,5
20,5.2,5
21,5.6,5
22,5.8,5
23,6.4,5
24,6.8,5
25,6.5,5
26,7.4,5
27,7.5,5
28,7.6,5
29,7.7,5
30,7.9,5
31,8.2,5
32,8.6,5
33,8.7,5
34,9.1,5
35,8.5,5
36,7.8,5
37,8.7,5
38,9.3,5
39,9.2,5
40,10.4,5
11,2.3,50
12,2.8,50
13,3.1,50
14,3.8,50
15,4.3,50
16,4.7,50
17,5.3,50
18,5.7,50
19,6.3,50
20,6.7,50
21,7.1,50
22,7.5,50
23,7.9,50
24,8.3,50
25,8.5,50
26,8.9,50
27,9.2,50
28,9.8,50
29,9.8,50
30,10.0,50
31,10.4,50
32,10.5,50
33,10.8,50
34,10.9,50
35,11.0,50
36,10.8,50
37,11.4,50
38,11.7,50
39,10.9,50
40,12.1,50
11,3.3,95
12,4.2,95
13,4.6,95
14,5.3,95
15,5.7,95
16,6.2,95
17,6.6,95
18,7.0,95
19,7.9,95
20,8.3,95
21,9.0,95
22,9.3,95
23,9.6,95
24,10.0,95
25,10.7,95
26,10.9,95
27,11.3,95
28,12.1,95
29,11.8,95
30,12.6,95
31,12.6,95
32,13.6,95
33,12.8,95
34,12.8,95
35,14.1,95
36,12.8,95
37,14.5,95
38,15.7,95
39,14.0,95
40,14.5,95
11,3.4,97.5
12,4.3,97.5
13,4.8,97.5
14,5.7,97.5
15,6.0,97.5
16,6.2,97.5
17,6.9,97.5
18,7.3,97.5
19,8.2,97.5
20,8.6,97.5
21,9.3,97.5
22,10.2,97.5
23,9.9,97.5
24,10.3,97.5
25,10.8,97.5
26,11.3,97.5
27,11.6,97.5
28,13.4,97.5
29,12.3,97.5
30,13.2,97.5
31,13.2,97.5
32,13.7,97.5
33,13.0,97.5
34,13.5,97.5
35,15.0,97.5
36,13.6,97.5
37,15.0,97.5
38,16.6,97.5
39,14.8,97.5
40,14.7,97.5
