idade_gestacional,valor,percentil
13,1.3,0.5
14,1.7,0.5
15,2.1,0.5
16,2.4,0.5
17,2.8,0.5
18,3.1,0.5
19,3.5,0.5
20,3.8,0.5
21,4.2,0.5
22,4.5,0.5
23,4.8,0.5
24,5.1,0.5
25,5.4,0.5
26,5.7,0.5
27,6.0,0.5
28,6.3,0.5
29,6.5,0.5
30,6.8,0.5
31,7.0,0.5
32,7.3,0.5
33,7.5,0.5
34,7.7,0.5
35,7.9,0.5
36,8.1,0.5
37,8.2,0.5
38,8.4,0.5
39,8.5,0.5
40,8.6,0.5
13,1.5,2.5
14,1.9,2.5
15,2.3,2.5
16,2.6,2.5
17,3.0,2.5
18,3.3,2.5
19,3.7,2.5
20,4.0,2.5
21,4.4,2.5
22,4.7,2.5
23,5.0,2.5
24,5.3,2.5
25,5.6,2.5
26,5.9,2.5
27,6.2,2.5
28,6.5,2.5
29,6.7,2.5
30,7.0,2.5
31,7.2,2.5
32,7.5,2.5
33,7.7,2.5
34,7.9,2.5
35,8.1,2.5
36,8.3,2.5
37,8.4,2.5
38,8.6,2.5
39,8.7,2.5
40,8.8,2.5
13,2.1,50
14,2.5,50
15,2.9,50
16,3.2,50
17,3.6,50
18,3.9,50
19,4.3,50
20,4.6,50
21,5.0,50
22,5.3,50
23,5.6,50
24,5.9,50
25,6.2,50
26,6.5,50
27,6.8,50
28,7.1,50
29,7.3,50
30,7.6,50
31,7.8,50
32,8.1,50
33,8.3,50
34,8.5,50
35,8.7,50
36,8.9,50
37,9.0,50
38,9.2,50
39,9.3,50
40,9.4,50
13,2.7,97.5
14,3.1,97.5
15,3.5,97.5
16,3.8,97.5
17,4.2,97.5
18,4.5,97.5
19,4.9,97.5
20,5.2,97.5
21,5.6,97.5
22,5.9,97.5
23,6.2,97.5
24,6.5,97.5
25,6.8,97.5
26,7.1,97.5
27,7.4,97.5
28,7.7,97.5
29,7.9,97.5
30,8.2,97.5
31,8.4,97.5
32,8.7,97.5
33,8.9,97.5
34,9.1,97.5
35,9.3,97.5
36,9.5,97.5
37,9.6,97.5
38,9.8,97.5
39,9.9,97.5
40,10.0,97.5
