idade_gestacional,valor,percentil
12,1.0,5
13,2.0,5
14,3.0,5
15,4.0,5
16,5.0,5
17,5.0,5
18,6.0,5
19,7.0,5
20,8.0,5
21,8.0,5
22,9.0,5
23,10.0,5
24,10.0,5
25,11.0,5
26,12.0,5
27,12.0,5
28,13.0,5
29,13.0,5
30,14.0,5
31,14.0,5
32,15.0,5
33,15.0,5
34,15.0,5
35,16.0,5
36,16.0,5
37,16.0,5
38,16.0,5
39,16.0,5
40,16.0,5
12,3.0,50
13,4.0,50
14,5.0,50
15,6.0,50
16,7.0,50
17,8.0,50
18,9.0,50
19,9.0,50
20,10.0,50
21,11.0,50
22,12.0,50
23,12.0,50
24,13.0,50
25,13.0,50
26,14.0,50
27,14.0,50
28,15.0,50
29,15.0,50
30,16.0,50
31,16.0,50
32,17.0,50
33,17.0,50
34,17.0,50
35,18.0,50
36,18.0,50
37,18.0,50
38,18.0,50
39,19.0,50
40,19.0,50
12,6.0,95
13,7.0,95
14,8.0,95
15,9.0,95
16,9.0,95
17,10.0,95
18,11.0,95
19,12.0,95
20,13.0,95
21,13.0,95
22,14.0,95
23,15.0,95
24,15.0,95
25,16.0,95
26,16.0,95
27,17.0,95
28,17.0,95
29,18.0,95
30,18.0,95
31,19.0,95
32,19.0,95
33,19.0,95
34,20.0,95
35,20.0,95
36,20.0,95
37,21.0,95
38,21.0,95
39,21.0,95
40,21.0,95
