idade_gestacional,valor,percentil
12,8.0,5
13,10.0,5
14,13.0,5
15,15.0,5
16,17.0,5
17,19.0,5
18,22.0,5
19,24.0,5
20,26.0,5
21,28.0,5
22,30.0,5
23,31.0,5
24,33.0,5
25,35.0,5
26,36.0,5
27,38.0,5
28,39.0,5
29,41.0,5
30,42.0,5
31,43.0,5
32,45.0,5
33,46.0,5
34,47.0,5
35,48.0,5
36,49.0,5
37,50.0,5
38,50.0,5
39,51.0,5
40,52.0,5
12,15.0,50
13,18.0,50
14,20.0,50
15,22.0,50
16,25.0,50
17,27.0,50
18,29.0,50
19,31.0,50
20,33.0,50
21,35.0,50
22,37.0,50
23,39.0,50
24,41.0,50
25,42.0,50
26,44.0,50
27,45.0,50
28,47.0,50
29,48.0,50
30,50.0,50
31,51.0,50
32,52.0,50
33,53.0,50
34,54.0,50
35,55.0,50
36,56.0,50
37,57.0,50
38,58.0,50
39,59.0,50
40,59.0,50
12,23.0,95
13,25.0,95
14,28.0,95
15,30.0,95
16,32.0,95
17,34.0,95
18,37.0,95
19,39.0,95
20,41.0,95
21,43.0,95
22,44.0,95
23,46.0,95
24,48.0,95
25,50.0,95
26,51.0,95
27,53.0,95
28,54.0,95
29,56.0,95
30,57.0,95
31,58.0,95
32,60.0,95
33,61.0,95
34,62.0,95
35,63.0,95
36,64.0,95
37,65.0,95
38,65.0,95
39,66.0,95
40,67.0,95
