idade_gestacional,valor,percentil
12,4.0,5
13,5.0,5
14,5.0,5
15,6.0,5
16,6.0,5
17,6.0,5
18,7.0,5
19,7.0,5
20,8.0,5
21,8.0,5
22,9.0,5
23,9.0,5
24,10.0,5
25,10.0,5
26,11.0,5
27,11.0,5
28,12.0,5
29,12.0,5
30,13.0,5
31,13.0,5
32,14.0,5
33,14.0,5
34,15.0,5
35,15.0,5
36,16.0,5
37,16.0,5
38,17.0,5
39,17.0,5
40,18.0,5
12,9.0,50
13,9.0,50
14,10.0,50
15,10.0,50
16,10.0,50
17,11.0,50
18,11.0,50
19,12.0,50
20,12.0,50
21,13.0,50
22,13.0,50
23,14.0,50
24,14.0,50
25,15.0,50
26,15.0,50
27,16.0,50
28,16.0,50
29,17.0,50
30,17.0,50
31,18.0,50
32,18.0,50
33,19.0,50
34,19.0,50
35,20.0,50
36,20.0,50
37,21.0,50
38,21.0,50
39,22.0,50
40,22.0,50
12,13.0,95
13,14.0,95
14,14.0,95
15,14.0,95
16,15.0,95
17,15.0,95
18,16.0,95
19,16.0,95
20,17.0,95
21,17.0,95
22,18.0,95
23,18.0,95
24,19.0,95
25,19.0,95
26,20.0,95
27,20.0,95
28,21.0,95
29,21.0,95
30,22.0,95
31,22.0,95
32,23.0,95
33,23.0,95
34,24.0,95
35,24.0,95
36,25.0,95
37,25.0,95
38,26.0,95
39,26.0,95
40,26.0,95
