idade_gestacional,valor,percentil
12,0.5,5
13,0.8,5
14,1.1,5
15,1.4,5
16,1.7,5
17,2.0,5
18,2.3,5
19,2.6,5
20,2.8,5
21,3.1,5
22,3.4,5
23,3.6,5
24,3.9,5
25,4.1,5
26,4.4,5
27,4.6,5
28,4.8,5
29,5.0,5
30,5.2,5
31,5.4,5
32,5.6,5
33,5.8,5
34,6.0,5
35,6.1,5
36,6.3,5
37,6.4,5
38,6.6,5
39,6.7,5
40,6.8,5
41,6.9,5
42,7.0,5
12,0.8,50
13,1.1,50
14,1.4,50
15,1.7,50
16,2.0,50
17,2.3,50
18,2.6,50
19,2.9,50
20,3.2,50
21,3.5,50
22,3.8,50
23,4.0,50
24,4.3,50
25,4.5,50
26,4.8,50
27,5.0,50
28,5.3,50
29,5.5,50
30,5.7,50
31,5.9,50
32,6.1,50
33,6.3,50
34,6.5,50
35,6.7,50
36,6.8,50
37,7.0,50
38,7.1,50
39,7.2,50
40,7.4,50
41,7.5,50
42,7.6,50
12,1.1,95
13,1.4,95
14,1.7,95
15,2.0,95
16,2.4,95
17,2.7,95
18,3.0,95
19,3.3,95
20,3.6,95
21,3.9,95
22,4.1,95
23,4.4,95
24,4.7,95
25,5.0,95
26,5.2,95
27,5.5,95
28,5.7,95
29,6.0,95
30,6.2,95
31,6.4,95
32,6.6,95
33,6.8,95
34,7.0,95
35,7.2,95
36,7.3,95
37,7.5,95
38,7.7,95
39,7.8,95
40,7.9,95
41,8.0,95
42,8.1,95
