idade_gestacional,valor,percentil
12,0.4,5
13,0.6,5
14,0.8,5
15,1.0,5
16,1.3,5
17,1.6,5
18,1.9,5
19,2.2,5
20,2.4,5
21,2.7,5
22,2.9,5
23,3.2,5
24,3.4,5
25,3.6,5
26,3.8,5
27,4.0,5
28,4.2,5
29,4.4,5
30,4.5,5
31,4.7,5
32,4.9,5
33,5.0,5
34,5.1,5
35,5.3,5
36,5.4,5
37,5.5,5
38,5.6,5
39,5.7,5
40,5.8,5
41,5.9,5
42,6.0,5
12,0.7,50
13,0.8,50
14,1.1,50
15,1.4,50
16,1.6,50
17,1.9,50
18,2.2,50
19,2.5,50
20,2.8,50
21,3.1,50
22,3.3,50
23,3.6,50
24,3.8,50
25,4.0,50
26,4.2,50
27,4.4,50
28,4.6,50
29,4.8,50
30,5.0,50
31,5.1,50
32,5.3,50
33,5.5,50
34,5.6,50
35,5.7,50
36,5.9,50
37,6.0,50
38,6.1,50
39,6.2,50
40,6.4,50
41,6.5,50
42,6.6,50
12,1.0,95
13,1.1,95
14,1.4,95
15,1.7,95
16,2.0,95
17,2.3,95
18,2.6,95
19,2.8,95
20,3.1,95
21,3.4,95
22,3.7,95
23,3.9,95
24,4.2,95
25,4.4,95
26,4.6,95
27,4.8,95
28,5.0,95
29,5.2,95
30,5.4,95
31,5.6,95
32,5.8,95
33,5.9,95
34,6.1,95
35,6.2,95
36,6.4,95
37,6.5,95
38,6.6,95
39,6.8,95
40,6.9,95
41,7.0,95
42,7.1,95
