idade_gestacional,valor,percentil
12,0.6,5
13,0.9,5
14,1.2,5
15,1.4,5
16,1.7,5
17,2.0,5
18,2.3,5
19,2.6,5
20,2.9,5
21,3.1,5
22,3.4,5
23,3.7,5
24,4.0,5
25,4.2,5
26,4.5,5
27,4.7,5
28,5.0,5
29,5.2,5
30,5.5,5
31,5.7,5
32,5.9,5
33,6.1,5
34,6.3,5
35,6.5,5
36,6.6,5
37,6.8,5
38,6.9,5
39,7.1,5
40,7.2,5
41,7.3,5
42,7.4,5
12,0.9,50
13,1.2,50
14,1.5,50
15,1.8,50
16,2.1,50
17,2.4,50
18,2.7,50
19,3.0,50
20,3.3,50
21,3.6,50
22,3.9,50
23,4.1,50
24,4.4,50
25,4.7,50
26,5.0,50
27,5.3,50
28,5.5,50
29,5.8,50
30,6.0,50
31,6.3,50
32,6.5,50
33,6.7,50
34,6.9,50
35,7.1,50
36,7.3,50
37,7.5,50
38,7.7,50
39,7.8,50
40,8.0,50
41,8.1,50
42,8.2,50
12,1.1,95
13,1.5,95
14,1.8,95
15,2.1,95
16,2.4,95
17,2.7,95
18,3.0,95
19,3.3,95
20,3.7,95
21,4.0,95
22,4.3,95
23,4.6,95
24,4.9,95
25,5.2,95
26,5.5,95
27,5.8,95
28,6.1,95
29,6.4,95
30,6.6,95
31,6.9,95
32,7.1,95
33,7.4,95
34,7.6,95
35,7.8,95
36,8.0,95
37,8.2,95
38,8.4,95
39,8.6,95
40,8.7,95
41,8.9,95
42,9.0,95
