idade_gestacional,valor,percentil
12,0.3,5
13,0.5,5
14,0.8,5
15,1.1,5
16,1.3,5
17,1.6,5
18,1.9,5
19,2.1,5
20,2.3,5
21,2.5,5
22,2.7,5
23,2.9,5
24,3.1,5
25,3.3,5
26,3.4,5
27,3.6,5
28,3.7,5
29,3.8,5
30,4.0,5
31,4.1,5
32,4.2,5
33,4.3,5
34,4.4,5
35,4.5,5
36,4.6,5
37,4.7,5
38,4.8,5
39,4.8,5
40,4.9,5
41,5.0,5
42,5.1,5
12,0.6,50
13,0.8,50
14,1.1,50
15,1.4,50
16,1.7,50
17,1.9,50
18,2.2,50
19,2.4,50
20,2.7,50
21,2.9,50
22,3.1,50
23,3.3,50
24,3.5,50
25,3.6,50
26,3.8,50
27,4.0,50
28,4.1,50
29,4.3,50
30,4.4,50
31,4.5,50
32,4.6,50
33,4.7,50
34,4.9,50
35,5.0,50
36,5.1,50
37,5.2,50
38,5.2,50
39,5.3,50
40,5.4,50
41,5.5,50
42,5.6,50
12,0.8,95
13,1.1,95
14,1.4,95
15,1.7,95
16,2.0,95
17,2.3,95
18,2.5,95
19,2.8,95
20,3.0,95
21,3.2,95
22,3.5,95
23,3.7,95
24,3.9,95
25,4.0,95
26,4.2,95
27,4.4,95
28,4.5,95
29,4.7,95
30,4.8,95
31,4.9,95
32,5.1,95
33,5.2,95
34,5.3,95
35,5.4,95
36,5.5,95
37,5.6,95
38,5.7,95
39,5.8,95
40,5.9,95
41,6.0,95
42,6.1,95
