idade_gestacional,valor,percentil
12,0.4,5
13,0.7,5
14,0.9,5
15,1.2,5
16,1.5,5
17,1.8,5
18,2.1,5
19,2.3,5
20,2.6,5
21,2.8,5
22,3.1,5
23,3.3,5
24,3.5,5
25,3.7,5
26,3.9,5
27,4.1,5
28,4.2,5
29,4.4,5
30,4.5,5
31,4.7,5
32,4.8,5
33,4.9,5
34,5.1,5
35,5.2,5
36,5.3,5
37,5.4,5
38,5.5,5
39,5.6,5
40,5.7,5
41,5.8,5
42,5.9,5
12,0.7,50
13,1.0,50
14,1.2,50
15,1.5,50
16,1.8,50
17,2.1,50
18,2.4,50
19,2.7,50
20,2.9,50
21,3.2,50
22,3.4,50
23,3.7,50
24,3.9,50
25,4.1,50
26,4.3,50
27,4.5,50
28,4.6,50
29,4.8,50
30,5.0,50
31,5.1,50
32,5.3,50
33,5.4,50
34,5.5,50
35,5.7,50
36,5.8,50
37,5.9,50
38,6.0,50
39,6.1,50
40,6.2,50
41,6.3,50
42,6.4,50
12,1.0,95
13,1.3,95
14,1.5,95
15,1.8,95
16,2.2,95
17,2.5,95
18,2.7,95
19,3.0,95
20,3.3,95
21,3.6,95
22,3.8,95
23,4.0,95
24,4.3,95
25,4.5,95
26,4.7,95
27,4.9,95
28,5.1,95
29,5.2,95
30,5.4,95
31,5.6,95
32,5.7,95
33,5.9,95
34,6.0,95
35,6.2,95
36,6.3,95
37,6.4,95
38,6.5,95
39,6.6,95
40,6.7,95
41,6.9,95
42,7.0,95
