idade_gestacional,valor,percentil
12,0.4,5
13,0.8,5
14,1.1,5
15,1.4,5
16,1.7,5
17,2.0,5
18,2.3,5
19,2.5,5
20,2.8,5
21,3.0,5
22,3.3,5
23,3.5,5
24,3.7,5
25,3.9,5
26,4.1,5
27,4.3,5
28,4.4,5
29,4.6,5
30,4.8,5
31,4.9,5
32,5.1,5
33,5.2,5
34,5.3,5
35,5.5,5
36,5.6,5
37,5.7,5
38,5.8,5
39,5.9,5
40,6.0,5
41,6.1,5
42,6.2,5
12,0.7,50
13,1.1,50
14,1.4,50
15,1.7,50
16,2.0,50
17,2.3,50
18,2.6,50
19,2.9,50
20,3.1,50
21,3.4,50
22,3.6,50
23,3.9,50
24,4.1,50
25,4.3,50
26,4.5,50
27,4.7,50
28,4.9,50
29,5.0,50
30,5.2,50
31,5.3,50
32,5.5,50
33,5.6,50
34,5.8,50
35,5.9,50
36,6.0,50
37,6.2,50
38,6.3,50
39,6.4,50
40,6.5,50
41,6.6,50
42,6.7,50
12,1.0,95
13,1.4,95
14,1.7,95
15,2.1,95
16,2.4,95
17,2.7,95
18,3.0,95
19,3.2,95
20,3.5,95
21,3.8,95
22,4.0,95
23,4.2,95
24,4.4,95
25,4.7,95
26,4.9,95
27,5.1,95
28,5.3,95
29,5.4,95
30,5.6,95
31,5.8,95
32,5.9,95
33,6.1,95
34,6.2,95
35,6.4,95
36,6.5,95
37,6.6,95
38,6.7,95
39,6.8,95
40,6.9,95
41,7.0,95
42,7.1,95
